2	NULL	201174	1760	2037	1653	1716	38286	NULL
2	NULL	201174	1760	2037	1653	1716	43765	NULL
2	NULL	201174	1760	2037	1653	1716	38287	NULL
2	NULL	201174	1760	2037	1653	1716	38301	NULL
2	NULL	201174	1760	2037	1653	1716	37637	NULL
2	NULL	201174	1760	2037	1653	1716	37637	NULL
2	NULL	201174	1760	2037	1653	1716	146827	NULL
2	NULL	1239	186801	186802	186807	471826	471827	477974
2	NULL	1224	29547	213849	72294	194	197	1211776
2	NULL	1224	28211	356	119045	407	114616	460265
2	NULL	1224	28211	204441	41295	1081	1085	1036743
2	NULL	1224	1236	91347	543	570	573	507522
2	NULL	976	117747	200666	84566	929509	995	929556
2	NULL	204428	204429	51291	809	810	83554	929557
2	NULL	1224	29547	213849	72293	202746	1176482	929558
2	NULL	201174	1760	2037	2062	1883	54571	953739
2	NULL	201174	1760	2037	1268	32207	43675	680646
2	NULL	1224	1236	135625	712	416916	732	634176
2	NULL	1224	28211	356	69277	68287	39645	765698
2	NULL	1224	28211	766	775	780	35790	652620
2	NULL	204428	204429	51291	809	810	813	759364
2	NULL	203691	203692	136	137	157	167	869209
2	NULL	1224	28211	204455	31989	92944	92945	759362
2	NULL	204428	204429	51291	809	810	813	759363
2	NULL	1239	91061	186826	1300	1301	257758	1054460
2	NULL	1224	28216	80840	75682	202907	158899	1005048
2	NULL	1224	28221	69541	213422	28231	35554	663917
2	NULL	1239	91061	186826	1300	1301	1307	1005041
2	NULL	1239	91061	186826	1300	1301	1307	1005042
2	NULL	1224	28221	29	49	39643	56	448385
2	NULL	1224	1236	135624	84642	642	654	998088
2	NULL	203691	203692	136	137	138	139	498736
2	NULL	1224	1236	91347	543	590	28901	1132507
2	NULL	1239	91061	186826	1300	1301	1336	552526
2	NULL	976	117747	200666	84566	84567	984	485917
2	NULL	1239	186801	186802	186807	1562	58138	485916
2	NULL	1224	28221	213115	213117	45662	45663	485915
2	NULL	1224	1236	72274	135621	286	300	1001585
2	NULL	976	117747	200666	NULL	79328	79329	485918
2	NULL	1239	91061	1385	186817	1386	1390	1001582
2	NULL	57723	NULL	NULL	NULL	458032	458033	981222
2	NULL	1239	186801	68295	543371	44000	413889	632348
2	NULL	1224	1236	91347	543	570	573	1049565
2	NULL	1239	91061	186826	1300	1301	1307	1184252
2	NULL	200918	188708	2419	188709	2422	93466	771875
2	NULL	1239	91061	186826	33958	1578	33959	633699
2	NULL	1224	1236	118969	444	445	450	661367
2	NULL	204428	204429	51291	809	810	83554	1112267
2	NULL	1224	28211	356	82115	28105	380	1185652
2	NULL	203682	666505	666506	666507	666508	547188	1142394
2	NULL	1224	1236	135624	84642	129577	511062	NULL
2	NULL	976	768503	768507	200667	869806	1006	643867
2	NULL	976	NULL	NULL	NULL	281119	281120	452471
2	NULL	1224	1236	135622	72275	2742	490759	NULL
2	NULL	201174	1760	2037	31957	29404	29405	1032480
2	NULL	1239	91061	186826	33958	1578	1613	712938
2	NULL	1239	91061	186826	81850	1243	136609	762051
2	NULL	1224	1236	135618	403	39773	271065	1091494
2	NULL	1224	1236	91347	543	204037	204042	561229
2	NULL	1224	1236	91347	543	561	562	885276
2	NULL	1224	1236	91347	543	561	562	885275
2	NULL	201174	1760	2037	2062	1883	68280	653045
2	NULL	1224	1236	91347	543	561	562	566546
2	NULL	203691	203692	136	143786	29521	159	565034
2	NULL	1224	28216	80840	75682	884214	884215	871271
2	NULL	1239	91061	186826	81852	1350	1351	936153
2	NULL	1239	91061	1385	186817	1386	1423	936156
2	NULL	1224	1236	91347	543	590	28901	936157
2	NULL	1239	91061	186826	1300	1301	1348	936154
2	NULL	1224	29547	213849	72293	209	214	936155
2	NULL	1239	91061	1385	186820	1637	1639	932920
2	NULL	1224	1236	72273	34064	262	263	510831
2	NULL	1239	91061	1385	NULL	33986	132920	1087448
2	NULL	1239	91061	1385	186817	1386	1423	1052585
2	NULL	1239	91061	1385	186817	1386	1423	1052588
2	NULL	201174	1760	2037	414877	414878	304895	479433
2	NULL	544448	31969	2085	2092	2093	2096	1159204
2	NULL	201174	1760	2037	85031	53460	53461	479431
2	NULL	201174	1760	84999	84107	84111	84112	479437
2	NULL	1239	909932	909929	31977	29465	29466	479436
2	NULL	201174	1760	2037	85015	182639	182640	479435
2	NULL	200795	189775	85001	85002	2056	2057	479434
2	NULL	1224	28216	206351	481	482	487	935593
2	NULL	1224	28216	206351	481	482	487	935591
2	NULL	1239	91061	186826	1300	1301	1307	568813
2	NULL	1239	91061	186826	1300	1301	1307	568814
2	NULL	1224	28211	356	118882	234	444163	568815
2	NULL	1239	909932	909929	909930	904	187327	568816
